Field,Argentina_Code,Natural_Language,Numeric_Code
Nightmaredistress,6,Very distressing,6
ChildhoodNightmareFreq,1,Never,1
ChildhoodNightmareFreq,2,Less than once a year,2
ChildhoodNightmareFreq,3,Once a year,3
ChildhoodNightmareFreq,4,Two to four times a year,4
ChildhoodNightmareFreq,5,Once a month,5
ChildhoodNightmareFreq,6,Two or three times a month,6
ChildhoodNightmareFreq,7,Once a week,7
ChildhoodNightmareFreq,8,Several times a week,8
NightmareReality,3,Yes,3
NightmareReality,2,Sometimes,2
NightmareReality,1,No,1
NightmareReality,0,N/A,0
Nightmare_Recurr,1,Yes,1
Nightmare_Recurr,2,No,2
Dream_themes,1,Flying,1
Dream_themes,2,Falling,2
Dream_themes,3,Death/assasination,3
Dream_themes,4,Natural disasters,4
Dream_themes,5,UFOs,5
Dream_themes,6,Eat delicious food,6
Dream_themes,7,Sex or nudity,7
Dream_themes,8,Snakes or insects,8
Dream_themes,9,Magic or myths,9
Dream_themes,10,Religious entities,10
Dream_themes,11,Fail in an exam,11
Dream_themes,12,Being chased,12
Dream_themes,13,Being frozen in fear,13
Dream_themes,14,Beasts,14
Dream_themes,15,Swimming,15
Dream_themes,16,Nightmares abouth something that ocurred in real life,16
Dream_themes,17,Visions or events that might occur in the future,17
Dream_themes,18,Intense colours,18
Dream_themes,19,Music or intense sounds,19
Dream_themes,20,Intense positive emotions,20
Dream_themes,21,Intense negative emotions,21
Dream_themes,22,Abscense of colours or B&W dreams,22
Dream_themes,23,Being late,23
Dream_themes,24,Being a kid again,24
Dream_themes,25,Interactions with family,25
Dream_themes,26,Having another visual appearance,26
Coffee,1,Yes,1
Coffee,2,No,2
Coffee_Cups,3,More than 4 cups,3
Coffee_Cups,2,2-3 cups,2
Coffee_Cups,1,1 o 2 cups,1
Coffee_Cups,0,I didn't drinke coffee,0
Coffe_late,0,I didn't drink coffee,0
Coffe_late,1,Before 12,1
Coffe_late,2,From 12 to 13,2
Coffe_late,3,From 13 to 14,3
Coffe_late,4,From 14 to 15,4
Coffe_late,5,After 16,5
Stimulants,1,Yes,1
Stimulants,2,No,2
Alcohol_Freq,0,Never,0
Alcohol_Freq,1,1-2 times in the past year,1
Alcohol_Freq,2,3-11 times in the past year,2
Alcohol_Freq,3,Once a month,3
Alcohol_Freq,4,2-3 times a month,4
Alcohol_Freq,5,Once a week,5
Alcohol_Freq,6,Twice a week,6
Alcohol_Freq,7,3-4 times a week,7
Alcohol_Freq,8,5-6 times a week,8
Alcohol_Amount,3,More than 5 drinks,3
Alcohol_Amount,2,3-4 drinks,2
Alcohol_Amount,1,1-2 drinks,1
Alcohol_Amount,0,I didn't drink alcohol,0
Smoke,4,Daily,4
Smoke,3,Less than once a day,3
Smoke,2,Not at all,2
Smoke,1,I've never smoked,1
Living_Situation,1,Alone,1
Living_Situation,2,With my partner/family,2
Living_Situation,3,With housemates,3
Pets,1,Yes,1
Pets,2,No,2
